Offspring,OM,IVD,CP,LDM,RC,PLB
405,90.47436,60.191437,12.658429,198.810845,2.316547,75.048585
406,90.843046,60.218338,11.921837,208.809421,1.625916,74.464009
407,90.204554,60.738179,12.958538,206.59607,2.256935,76.122701
408,91.24181,60.10251,12.584069,208.95387,1.929745,73.612784
409,90.850352,60.009172,12.405332,220.661432,1.490942,76.817628
410,90.799497,59.751815,12.840879,212.772255,1.668365,74.465015
411,90.661039,60.893683,12.249502,217.289882,1.852454,77.190334
412,91.011807,58.977458,12.352895,211.77433,1.915697,77.096037
413,91.456556,62.157404,12.559157,204.608914,1.196735,78.207545
414,91.171832,59.494421,12.963805,217.961346,1.923396,76.425451
415,90.224603,59.902782,12.63821,206.392427,1.973853,81.144309
416,91.172606,61.163513,12.528822,208.885137,2.341457,76.513374
417,91.037892,59.90835,12.456229,211.815106,2.061477,79.293123
418,91.519957,60.275687,12.595485,214.911637,1.362584,72.787023
419,90.658246,59.741892,12.915779,208.316607,1.726225,71.719373
420,91.11292,59.832948,12.729202,209.495195,1.76686,71.197462
421,90.217515,59.923355,12.386608,209.917572,2.473136,73.609917
422,91.091364,60.409125,12.225273,208.145332,1.106458,68.287397
424,90.57847,59.51722,12.350655,213.651215,1.907433,79.528108
425,90.354688,60.609281,12.74563,210.659921,2.090913,77.017776
426,90.826627,58.865391,12.800056,206.467244,2.174257,78.312619
427,90.760765,59.739463,12.652033,209.480825,1.325972,70.069856
428,90.008807,61.549589,12.789848,208.497429,1.434532,77.152107
429,90.680256,58.63023,12.32807,211.055306,2.211792,78.454873
430,90.283695,60.963605,12.0039,216.246747,2.163167,75.712058
431,89.937979,60.182521,12.942473,219.267384,2.000955,70.175675
432,91.087396,59.671995,11.368037,208.730215,2.141711,75.408929
434,90.790269,59.645732,12.762567,211.721149,1.938418,74.990257
435,90.781437,59.87549,12.340888,212.44412,2.43468,75.781972
436,90.650084,60.190739,12.827711,211.252121,1.717453,74.735984
437,90.755402,59.165441,12.314766,207.821728,2.730561,80.216046
438,91.530128,57.91975,12.340223,208.350478,2.607838,76.98728
439,90.643266,60.990964,13.277464,217.168521,1.806042,72.352694
440,90.801165,61.866324,13.168314,203.561947,1.701126,72.402328
441,90.718924,61.27892,13.496483,221.29058,2.197871,72.023343
442,90.579296,60.560102,12.680552,204.815469,1.413401,69.223663
443,91.674374,60.470508,12.86391,211.646401,1.951089,77.851297
444,90.981724,59.539546,12.379366,207.711707,2.500217,73.514582
445,90.255664,59.905039,12.630137,216.071557,1.989259,73.326817
446,90.740524,61.191819,12.590101,214.996849,1.901249,72.503636
447,90.636974,60.775185,12.509936,215.784298,2.055801,71.40282
448,91.052245,59.804436,12.153958,217.140905,1.290276,72.93413
449,90.434146,59.263215,12.580208,217.535537,2.68464,76.067848
450,91.604755,60.080251,12.870328,193.791656,2.327576,79.131374
451,90.781547,61.341431,13.370052,201.519894,2.683056,77.04154
452,90.914005,59.586421,12.290388,214.913815,1.589241,73.95974
453,90.613523,61.028455,12.374184,216.960205,1.814634,73.897607
454,90.441616,58.607456,12.298522,219.262675,2.083919,70.077652
455,91.113774,62.567433,13.473264,204.108336,1.431176,73.860516
456,91.291273,60.192178,12.647983,221.203767,1.507664,73.026431
457,89.834031,59.152998,13.181959,224.305741,2.319283,77.418958
458,90.379217,61.489068,12.672734,209.048502,2.15996,68.477884
459,90.716641,59.927885,12.455303,214.940288,1.456903,74.905767
460,91.496148,60.166877,12.82521,208.490333,1.67922,71.753424
461,91.02562,60.283123,12.747699,210.992973,2.34835,77.665638
463,90.67204,59.582914,12.298527,202.490616,2.272995,81.351785
464,90.941798,59.430412,12.650804,205.73344,2.135973,76.309161
465,90.876208,59.419789,12.239709,211.567895,2.011479,70.103235
466,90.893588,60.307131,12.381846,210.041787,2.247487,77.576502
467,90.908257,60.807384,12.87301,209.950204,1.728088,77.405203
468,90.886104,60.371256,13.332472,209.725277,2.213129,76.712164
